set,video,min ssim,min ssim frame,max mse,max mse frame
00,id3_0001,0.29,340,0.03,340
00,id2_0003,0.41,207,0.02,207
00,id16_0005,0.50,188,0.04,218
00,id16_0002,0.40,84,0.01,333
00,id1_0001,0.49,272,0.02,275
00,id7_0008,0.46,200,0.04,200
00,id6_0006,0.46,132,0.01,74
00,id6_0001,0.14,136,0.05,115
00,id8_0004,0.52,530,0.05,529
00,id8_0002,0.32,304,0.08,304
00,id0_0009,0.49,121,0.02,121
00,id3_0003,0.50,123,0.01,123
00,id8_0003,0.17,44,0.07,40
00,id9_0005,0.42,222,0.01,389
00,id6_0005,0.19,190,0.04,189
00,id13_0010,0.34,275,0.03,275
00,id9_0007,0.23,272,0.15,96
00,id9_0003,0.57,180,0.06,136
00,id10_0005,0.38,297,0.02,134
00,id2_0002,0.12,285,0.05,285
00,id8_0009,0.18,248,0.28,377
00,id0_0002,0.40,52,0.04,349
00,id7_0003,0.24,390,0.08,288
00,id2_0007,0.29,81,0.06,231
00,id3_0009,0.62,494,0.01,496
00,id13_0005,0.33,299,0.08,307
00,id9_0002,0.47,340,0.02,335
00,id0_0008,0.33,398,0.10,130
00,id17_0003,0.47,107,0.04,135
00,id7_0000,0.46,120,0.12,220
00,id16_0010,0.33,107,0.04,90
00,id8_0006,0.38,118,0.04,345
00,id11_0000,0.21,166,0.24,164
00,id4_0002,0.40,397,0.02,399
00,id16_0012,0.22,58,0.08,58
00,id13_0007,0.36,291,0.06,291
00,id1_0008,0.40,516,0.02,354
00,id1_0002,0.52,233,0.03,233
00,id13_0001,0.57,290,0.02,321
00,id2_0008,0.15,5,0.13,76
00,id17_0001,0.39,282,0.03,282
00,id16_0006,0.39,219,0.02,223
00,id12_0006,0.23,208,0.07,20
00,id4_0009,0.48,178,0.02,120
00,id1_0009,0.20,193,0.02,97
00,id1_0000,0.32,365,0.06,365
00,id17_0000,0.10,289,0.12,289
00,id10_0006,0.02,62,0.09,62
00,id10_0004,0.49,197,0.02,505
00,id3_0007,0.40,258,0.03,37
00,id13_0009,0.32,98,0.03,78
00,id11_0005,0.43,301,0.02,285
00,id17_0009,0.50,270,0.01,269
00,id12_0001,0.39,225,0.02,109
00,id6_0003,0.25,241,0.06,241
00,id6_0007,0.37,501,0.01,183
00,id17_0008,0.16,265,0.08,257
00,id6_0000,0.50,88,0.04,88
00,id4_0001,0.40,372,0.02,372
00,id16_0001,0.20,110,0.04,33
00,id13_0004,0.23,84,0.11,84
00,id6_0009,0.48,444,0.02,69
00,id2_0005,0.55,300,0.01,300
00,id2_0009,0.53,192,0.02,158
00,id7_0004,0.25,184,0.03,122
00,id10_0008,0.57,317,0.01,328
00,id6_0004,0.41,164,0.04,164
00,id8_0005,0.45,195,0.03,167
00,id0_0000,0.32,398,0.03,398
00,id8_0000,0.52,179,0.07,450
00,id11_0006,0.40,266,0.02,78
00,id12_0000,0.40,375,0.06,374
00,id13_0015,0.09,340,0.08,339
00,id10_0003,0.07,348,0.07,348
00,id9_0008,0.26,234,0.08,288
00,id7_0005,0.60,84,0.06,135
00,id10_0000,0.26,66,0.06,218
00,id1_0004,0.58,89,0.02,89
00,id8_0007,0.33,187,0.11,187
00,id10_0009,0.27,400,0.07,402
00,id11_0002,0.35,184,0.04,158
00,id0_0004,0.30,265,0.07,226
00,id13_0012,0.40,85,0.02,85
00,id13_0000,0.61,230,0.01,230
00,id16_0011,0.42,194,0.03,189
00,id16_0009,0.47,247,0.03,286
00,id4_0000,0.26,153,0.12,153
00,id1_0007,0.30,327,0.02,327
00,id2_0001,0.60,262,0.02,262
00,id17_0002,0.17,318,0.08,316
00,id11_0004,0.06,4,0.05,296
00,id4_0007,0.32,387,0.05,98
00,id7_0007,0.27,387,0.04,306
00,id2_0004,0.49,99,0.02,388
00,id13_0014,0.34,389,0.10,387
00,id9_0006,0.26,124,0.04,358
00,id3_0000,0.44,430,0.04,89
00,id13_0003,0.38,96,0.16,208
00,id13_0013,0.46,240,0.01,195
00,id12_0003,0.28,162,0.09,161
00,id8_0008,0.29,21,0.15,21
00,id0_0001,0.46,85,0.08,298
00,id9_0001,0.36,241,0.03,234
00,id10_0002,0.39,108,0.02,108
00,id2_0006,0.38,377,0.03,138
00,id12_0004,0.44,165,0.02,170
00,id17_0007,0.28,272,0.03,272
00,id16_0000,0.29,67,0.04,67
00,id17_0006,0.17,33,0.05,33
00,id3_0004,0.42,252,0.05,252
00,id3_0006,0.22,24,0.16,24
00,id4_0003,0.36,312,0.02,167
00,id4_0005,0.52,254,0.02,219
00,id13_0008,0.61,44,0.01,128
00,id16_0007,0.35,111,0.03,277
00,id4_0008,0.14,325,0.08,325
00,id9_0000,0.37,288,0.03,288
00,id11_0007,0.30,66,0.06,69
00,id0_0005,0.28,225,0.05,173
00,id11_0009,0.38,372,0.02,329
00,id17_0005,0.14,239,0.12,239
00,id6_0008,0.49,254,0.04,237
00,id10_0007,0.19,501,0.49,497
00,id0_0003,0.44,528,0.06,62
00,id3_0002,0.42,76,0.02,102
00,id3_0005,0.37,382,0.07,382
00,id16_0008,0.22,146,0.08,121
00,id11_0003,0.30,149,0.07,156
00,id13_0011,0.26,39,0.05,184
00,id13_0002,0.60,181,0.02,44
00,id13_0006,0.27,205,0.10,145
00,id7_0001,0.27,279,0.05,104
00,id1_0006,0.50,500,0.02,500
00,id3_0008,0.12,434,0.12,434
00,id2_0000,0.44,342,0.07,342
00,id11_0001,0.53,104,0.03,104
00,id16_0004,0.28,147,0.06,299
00,id11_0008,0.56,237,0.02,363
00,id0_0007,0.24,462,0.06,462
00,id16_0013,0.57,220,0.02,181
00,id10_0001,0.23,48,0.07,144
00,id12_0002,0.42,167,0.09,168
00,id0_0006,0.48,436,0.04,192
00,id7_0006,0.35,149,0.07,149
00,id11_0010,0.31,216,0.05,215
00,id6_0002,0.45,574,0.02,574
00,id4_0004,0.31,437,0.23,426
00,id9_0004,0.39,106,0.04,112
00,id7_0002,0.51,221,0.04,235
00,id7_0009,0.34,105,0.01,235
00,id1_0003,0.38,171,0.03,267
00,id4_0006,0.31,224,0.02,37
00,id17_0004,0.17,67,0.05,67
00,id1_0005,0.53,409,0.03,326
00,id16_0003,0.38,256,0.01,266
00,id9_0009,0.33,26,0.03,29
00,id12_0005,0.24,278,0.09,278
00,id8_0001,0.56,205,0.01,208
